Paths,Labels
Dataset\no\015576.jpg,no
Dataset\candy\005461.jpg,candy
Dataset\computer\007912.jpg,computer
Dataset\no\015013.jpg,no
Dataset\year\020366.jpg,year
Dataset\year\019997.jpg,year
Dataset\thin\016637.jpg,thin
Dataset\walk\017441.jpg,walk
Dataset\thin\015787.jpg,thin
Dataset\deaf\009988.jpg,deaf
Dataset\chair\006271.jpg,chair
Dataset\chair\006259.jpg,chair
Dataset\yes\021978.jpg,yes
Dataset\drink\011027.jpg,drink
Dataset\before\001278.jpg,before
Dataset\computer\007299.jpg,computer
Dataset\year\019832.jpg,year
Dataset\before\001671.jpg,before
Dataset\drink\011207.jpg,drink
Dataset\walk\017352.jpg,walk
Dataset\all\000362.jpg,all
Dataset\chair\005772.jpg,chair
Dataset\year\020079.jpg,year
Dataset\help\014135.jpg,help
Dataset\cousin\008986.jpg,cousin
Dataset\deaf\009484.jpg,deaf
Dataset\computer\007349.jpg,computer
Dataset\thin\015965.jpg,thin
Dataset\book\003025.jpg,book
Dataset\walk\017497.jpg,walk
Dataset\walk\017529.jpg,walk
Dataset\cousin\008611.jpg,cousin
Dataset\drink\012148.jpg,drink
Dataset\before\001158.jpg,before
Dataset\fine\012672.jpg,fine
Dataset\no\014634.jpg,no
Dataset\yes\021485.jpg,yes
Dataset\who\018647.jpg,who
Dataset\all\000461.jpg,all
Dataset\clothes\007116.jpg,clothes
Dataset\cousin\009225.jpg,cousin
Dataset\candy\004388.jpg,candy
Dataset\computer\008083.jpg,computer
Dataset\no\014586.jpg,no
Dataset\who\019243.jpg,who
Dataset\cousin\008584.jpg,cousin
Dataset\drink\010573.jpg,drink
Dataset\drink\011419.jpg,drink
Dataset\drink\012249.jpg,drink
Dataset\yes\021390.jpg,yes
Dataset\drink\011454.jpg,drink
Dataset\all\000488.jpg,all
Dataset\clothes\006509.jpg,clothes
Dataset\clothes\007101.jpg,clothes
Dataset\walk\018045.jpg,walk
Dataset\yes\021258.jpg,yes
Dataset\yes\021641.jpg,yes
Dataset\year\019936.jpg,year
Dataset\before\000901.jpg,before
Dataset\black\002280.jpg,black
Dataset\candy\004526.jpg,candy
Dataset\clothes\006886.jpg,clothes
Dataset\book\003904.jpg,book
Dataset\yes\021562.jpg,yes
Dataset\yes\021815.jpg,yes
Dataset\help\014492.jpg,help
Dataset\fine\012759.jpg,fine
Dataset\chair\006053.jpg,chair
Dataset\drink\011513.jpg,drink
Dataset\fine\013138.jpg,fine
Dataset\yes\021431.jpg,yes
Dataset\fine\012528.jpg,fine
Dataset\no\014727.jpg,no
Dataset\before\001648.jpg,before
Dataset\fine\012571.jpg,fine
Dataset\year\020294.jpg,year
Dataset\go\013741.jpg,go
Dataset\book\004352.jpg,book
Dataset\all\000129.jpg,all
Dataset\book\002933.jpg,book
Dataset\no\015308.jpg,no
Dataset\computer\008115.jpg,computer
Dataset\drink\011913.jpg,drink
Dataset\black\002670.jpg,black
Dataset\computer\007669.jpg,computer
Dataset\chair\006199.jpg,chair
Dataset\drink\011849.jpg,drink
Dataset\candy\004547.jpg,candy
Dataset\computer\007925.jpg,computer
Dataset\clothes\006591.jpg,clothes
Dataset\year\019767.jpg,year
Dataset\who\019134.jpg,who
Dataset\walk\017679.jpg,walk
Dataset\yes\021492.jpg,yes
Dataset\walk\017879.jpg,walk
Dataset\who\018563.jpg,who
Dataset\chair\006219.jpg,chair
Dataset\drink\010666.jpg,drink
Dataset\walk\018149.jpg,walk
Dataset\black\002627.jpg,black
Dataset\yes\021084.jpg,yes
Dataset\year\020188.jpg,year
Dataset\go\013803.jpg,go
Dataset\yes\021404.jpg,yes
Dataset\drink\011498.jpg,drink
Dataset\drink\010802.jpg,drink
Dataset\drink\011585.jpg,drink
Dataset\candy\005475.jpg,candy
Dataset\deaf\009839.jpg,deaf
Dataset\computer\007376.jpg,computer
Dataset\drink\011926.jpg,drink
Dataset\candy\004578.jpg,candy
Dataset\book\003188.jpg,book
Dataset\cousin\009393.jpg,cousin
Dataset\fine\012644.jpg,fine
Dataset\black\002185.jpg,black
Dataset\who\019429.jpg,who
Dataset\cousin\009150.jpg,cousin
Dataset\book\004074.jpg,book
Dataset\year\020641.jpg,year
Dataset\drink\010909.jpg,drink
Dataset\cousin\008551.jpg,cousin
Dataset\book\004129.jpg,book
Dataset\chair\006068.jpg,chair
Dataset\before\002046.jpg,before
Dataset\deaf\009925.jpg,deaf
Dataset\year\020333.jpg,year
Dataset\deaf\010072.jpg,deaf
Dataset\no\014983.jpg,no
Dataset\candy\004851.jpg,candy
Dataset\cousin\008638.jpg,cousin
Dataset\thin\016399.jpg,thin
Dataset\no\014780.jpg,no
Dataset\before\001275.jpg,before
Dataset\computer\007882.jpg,computer
Dataset\help\014394.jpg,help
